,func,ncalls,ccalls,tottime,cumtime,callers
43,<built-in method builtins.len>,2108917,409251,0.324221421,0.253286137,"[_lsprof.profiler_subentry(code=<code object __len__ at 0x7eae67564120, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/indexes/base.py"", line 912>, callcount=83724, reccallcount=0, totaltime=0.021384529000000003, inlinetime=0.014482057000000001), _lsprof.profiler_subentry(code=<code object __len__ at 0x7eae67137e10, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/series.py"", line 914>, callcount=14637, reccallcount=0, totaltime=0.019225950000000002, inlinetime=0.002394598), _lsprof.profiler_subentry(code=<code object __len__ at 0x7eae671db2d0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/internals/base.py"", line 74>, callcount=18267, reccallcount=0, totaltime=0.016308797, inlinetime=0.006526400000000001), _lsprof.profiler_subentry(code=<code object __len__ at 0x7eae671d8120, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/indexes/range.py"", line 999>, callcount=292623, reccallcount=0, totaltime=0.068696424, inlinetime=0.045430998)]"
44,<built-in method builtins.locals>,3630,0,0.014129059000000001,0.014129059000000001,
45,<built-in method builtins.max>,2168953,0,0.380075475,0.37401816400000004,"[_lsprof.profiler_subentry(code=<code object <genexpr> at 0x7eae668d5c30, file ""/home/adityamoger/Documents/GitHub/dynamic_model_of_cocktail_party_nightmare/dynamic_model/simulation_and_plotting/simulation.py"", line 193>, callcount=50050, reccallcount=0, totaltime=0.006057311, inlinetime=0.004210013)]"
46,<built-in method builtins.next>,3630,0,0.0006506340000000001,0.0006506340000000001,
47,<built-in method builtins.ord>,3630,0,0.000614918,0.000614918,
48,<built-in method builtins.print>,3,0,1.7921e-05,1.7921e-05,
49,<built-in method builtins.repr>,400,0,0.000194078,0.000194078,
50,<built-in method builtins.sorted>,7360,0,0.005488017,0.005488017,
51,<built-in method _warnings._filters_mutated>,10890,0,0.0013318260000000001,0.0013318260000000001,
52,<method 'encode' of 'str' objects>,4030,0,0.001563368,0.001563368,
53,<method 'replace' of 'str' objects>,12,0,1.6230000000000002e-06,1.6230000000000002e-06,
54,<method 'split' of 'str' objects>,54802,0,0.014106864,0.014106864,
55,<method 'join' of 'str' objects>,3731,0,0.000837884,0.000837884,
56,<method 'find' of 'str' objects>,102,0,4.8839000000000005e-05,4.8839000000000005e-05,
57,<method 'lower' of 'str' objects>,33311,0,0.004010976,0.004010976,
58,<method 'lstrip' of 'str' objects>,2,0,1.017e-06,1.017e-06,
59,<method 'strip' of 'str' objects>,2,0,5.970000000000001e-07,5.970000000000001e-07,
60,<method 'upper' of 'str' objects>,7260,0,0.0018291310000000001,0.0018291310000000001,
61,<method 'startswith' of 'str' objects>,10894,0,0.002649808,0.002649808,
62,<method 'endswith' of 'str' objects>,32729,0,0.004972366000000001,0.004972366000000001,
63,<built-in method __new__ of type object at 0x55893d5e4300>,69423,0,0.015656708000000002,0.015656708000000002,
64,<method 'add' of 'set' objects>,32987,0,0.007366109000000001,0.007366109000000001,
65,<method 'pop' of 'set' objects>,10890,0,0.001963549,0.001963549,
66,<method 'update' of 'set' objects>,65974,0,0.022077689,0.022077689,
67,<method 'index' of 'range' objects>,7472177,0,1.063341208,1.063341208,
68,<method 'get' of 'dict' objects>,7817614,0,0.944558545,0.944558545,
69,<method 'pop' of 'dict' objects>,61711,0,0.009192786000000001,0.009192786000000001,
70,<method 'keys' of 'dict' objects>,7260,0,0.0017102170000000002,0.0017102170000000002,
71,<method 'items' of 'dict' objects>,30784,0,0.0056129230000000006,0.0056129230000000006,
72,<method 'values' of 'dict' objects>,25577,0,0.005598401,0.005598401,
73,<method 'update' of 'dict' objects>,396448,0,0.102548016,0.102548016,
74,<method 'copy' of 'dict' objects>,29157,0,0.008781109,0.008781109,
75,<built-in method from_bytes>,41519,0,0.009902397,0.009902397,
76,<method 'copy' of 'list' objects>,632,0,0.000161588,0.000161588,
77,<method 'append' of 'list' objects>,691004,0,0.10674162100000001,0.10674162100000001,
78,<method 'insert' of 'list' objects>,3630,0,0.000923911,0.000923911,
79,<method 'extend' of 'list' objects>,200000,0,0.036067811000000005,0.036067811000000005,
80,<method 'pop' of 'list' objects>,627,0,0.00022138700000000003,0.00022138700000000003,
81,<method 'remove' of 'list' objects>,3630,0,0.003279487,0.003279487,
82,<method 'index' of 'list' objects>,2842,0,0.0018069750000000002,0.001055574,"[_lsprof.profiler_subentry(code=<code object __eq__ at 0x7eaea790d6b0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/uuid.py"", line 240>, callcount=4124, reccallcount=0, totaltime=0.0007514010000000001, inlinetime=0.000530855)]"
83,<method 'count' of 'list' objects>,41519,0,0.011679102,0.011679102,
84,<method 'reverse' of 'list' objects>,3631,0,0.0007003280000000001,0.0007003280000000001,
85,<method 'get' of 'mappingproxy' objects>,2,0,1.04e-06,1.04e-06,
86,"<code object __enter__ at 0x55896369ae90, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/warnings.py"", line 482>",3630,0,0.004717692,0.004008468,"[_lsprof.profiler_subentry(code='<built-in method _warnings._filters_mutated>', callcount=3630, reccallcount=0, totaltime=0.000709224, inlinetime=0.000709224)]"
87,"<code object __get__ at 0x5589636d6220, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/enum.py"", line 197>",33820,0,0.029172705,0.02864776,"[_lsprof.profiler_subentry(code=<code object value at 0x7eaea77e4110, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/enum.py"", line 1279>, callcount=3630, reccallcount=0, totaltime=0.0005249450000000001, inlinetime=0.0005249450000000001)]"
