,space_occupied,collision_counts,collision_rate,calling_effort,iteration_label,SOUND_SPEED,SIM_DURATION,TIME_STEP,ARENA_WIDTH,ARENA_LENGTH,WALL_RESOLUTION,NUM_BATS,BAT_SPEED,BAT_FAST_SPEED,BAT_RADIUS,CALL_DURATION,CALL_RATE,CALL_RATE_FAST,EMITTED_SPL,HEARING_THRESHOLD,OBSTACLE_COUNT,OBSTACLE_RADIUS,AIR_ABSORPTION,REFLECTION_LOSS,REFLECTION_LOSS_WALL,PROPENSITY_TO_CHANGE_DIRECTION,FRAME_RATE,CLEANUP_INTERVAL,CLEANUP_PLOT_DATA,TIME_DELAY_FOR_DIRECTION_CHANGE,NOISE_IN_CALL_RATE,CALL_DIRECTIONALITY,HEARING_DIRECTIONALITY,BAT_ROTATION_SPEED,BAT_FRONTAL_RANGE,IMPLEMENT_SNR,HEARING_ANGLE_THRESHOLD,MINIMUM_SOUND_DETECTION_FRACTION,INCLUDE_DIRECT_SOUNDS_IN_RESPONSE,SPL_THRESHOLD_FOR_ATTRACTION,SPL_THRESHOLD_FOR_REPULSION,SPATIAL_REFERENCE_FRAME,BAT_RADIAL_RESOLUTION,BAT_ANGULAR_RESOLUTION,MEMORY_WINDOW_FOR_CONSISTENCY,CONVERT_GRIDS+TO_ONE_HOT_?,NUMBER_OF_CONSISTENT_IPIS_FOR_MOVEMENT,TIME_DELAY_THRESHOLD_FOR_REPULSION,BEHAVIOUR_RULE,CONTROLLER_TYPE,STORE_HEARING,JAMMER_RESOLUTION,TEMPORAL_MASKING_FN_TYPE,OUTPUT_DIR_FOR_SIMULATION,PARAM_LABEL
23,169,21,0.054433333333333334,1,iteration_number_23,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
24,220,25,0.058833333333333335,1,iteration_number_24,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
25,110,24,0.0604,1,iteration_number_25,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
26,255,25,0.061033333333333335,1,iteration_number_26,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
27,207,22,0.057666666666666665,1,iteration_number_27,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
28,265,26,0.0614,1,iteration_number_28,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
29,260,24,0.059566666666666664,1,iteration_number_29,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
30,224,24,0.06,1,iteration_number_30,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
31,259,19,0.05676666666666667,1,iteration_number_31,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
32,240,20,0.06253333333333333,1,iteration_number_32,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
33,231,25,0.05963333333333334,1,iteration_number_33,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
34,243,23,0.059166666666666666,1,iteration_number_34,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
35,65,15,0.0255,1,iteration_number_35,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
36,200,23,0.060833333333333336,1,iteration_number_36,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
37,198,19,0.061233333333333334,1,iteration_number_37,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
38,126,19,0.057833333333333334,1,iteration_number_38,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
39,171,15,0.05616666666666666,1,iteration_number_39,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
40,230,24,0.05893333333333333,1,iteration_number_40,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
41,263,23,0.060833333333333336,1,iteration_number_41,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
42,170,23,0.06256666666666667,1,iteration_number_42,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
43,234,21,0.06303333333333333,1,iteration_number_43,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
44,173,25,0.06116666666666667,1,iteration_number_44,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
45,179,20,0.06253333333333333,1,iteration_number_45,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
46,241,20,0.0596,1,iteration_number_46,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
47,204,24,0.0604,1,iteration_number_47,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
48,235,19,0.0611,1,iteration_number_48,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
49,193,25,0.0625,1,iteration_number_49,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
50,265,23,0.06266666666666666,1,iteration_number_50,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
51,255,20,0.06326666666666667,1,iteration_number_51,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
52,228,24,0.062,1,iteration_number_52,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
53,214,25,0.06046666666666667,1,iteration_number_53,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
54,215,17,0.0555,1,iteration_number_54,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
55,147,17,0.06266666666666666,1,iteration_number_55,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
56,253,24,0.059333333333333335,1,iteration_number_56,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
57,221,25,0.059666666666666666,1,iteration_number_57,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
