,space_occupied,collision_counts,collision_rate,calling_effort,iteration_label,BAT_SPEED
183,152,14,0.0569333333333333,1,iteration_number_83,3
184,195,16,0.064,1,iteration_number_84,3
185,205,16,0.0632,1,iteration_number_85,3
186,162,15,0.0605666666666667,1,iteration_number_86,3
187,127,13,0.0757,1,iteration_number_87,3
188,151,14,0.0560333333333333,1,iteration_number_88,3
189,124,14,0.0646666666666667,1,iteration_number_89,3
190,140,13,0.0655666666666667,1,iteration_number_90,3
191,108,14,0.0765333333333333,1,iteration_number_91,3
192,198,16,0.0628,1,iteration_number_92,3
193,142,13,0.0534,1,iteration_number_93,3
194,175,11,0.0589,1,iteration_number_94,3
195,148,13,0.0579666666666667,1,iteration_number_95,3
196,136,15,0.0603666666666667,1,iteration_number_96,3
197,128,14,0.056,1,iteration_number_97,3
198,147,10,0.0644,1,iteration_number_98,3
199,140,13,0.0655666666666667,1,iteration_number_99,3
200,271,24,0.0583333333333333,1,iteration_number_0,5
201,260,24,0.0608666666666667,1,iteration_number_1,5
202,234,22,0.0585666666666667,1,iteration_number_2,5
203,198,24,0.0569333333333333,1,iteration_number_3,5
204,261,22,0.0592,1,iteration_number_4,5
205,255,25,0.0611333333333333,1,iteration_number_5,5
206,225,22,0.0590666666666667,1,iteration_number_6,5
207,192,24,0.0589666666666667,1,iteration_number_7,5
208,248,24,0.0609333333333333,1,iteration_number_8,5
209,186,21,0.0590333333333333,1,iteration_number_9,5
210,191,24,0.0602666666666667,1,iteration_number_10,5
211,150,21,0.0779,1,iteration_number_11,5
212,226,22,0.0568333333333333,1,iteration_number_12,5
213,237,24,0.0622666666666667,1,iteration_number_13,5
214,266,26,0.0608666666666667,1,iteration_number_14,5
215,242,19,0.0623,1,iteration_number_15,5
216,203,22,0.0598333333333333,1,iteration_number_16,5
217,205,23,0.0601666666666667,1,iteration_number_17,5
218,250,24,0.059,1,iteration_number_18,5
219,140,15,0.0626,1,iteration_number_19,5
220,205,18,0.0546666666666667,1,iteration_number_20,5
221,237,25,0.0599333333333333,1,iteration_number_21,5
222,199,25,0.0653666666666667,1,iteration_number_22,5
223,169,21,0.0544333333333333,1,iteration_number_23,5
224,220,25,0.0588333333333333,1,iteration_number_24,5
225,110,24,0.0604,1,iteration_number_25,5
226,255,25,0.0610333333333333,1,iteration_number_26,5
227,207,22,0.0576666666666667,1,iteration_number_27,5
228,265,26,0.0614,1,iteration_number_28,5
229,260,24,0.0595666666666667,1,iteration_number_29,5
230,224,24,0.06,1,iteration_number_30,5
231,259,19,0.0567666666666667,1,iteration_number_31,5
232,240,20,0.0625333333333333,1,iteration_number_32,5
233,231,25,0.0596333333333333,1,iteration_number_33,5
234,243,23,0.0591666666666667,1,iteration_number_34,5
235,65,15,0.0255,1,iteration_number_35,5
236,200,23,0.0608333333333333,1,iteration_number_36,5
237,198,19,0.0612333333333333,1,iteration_number_37,5
238,126,19,0.0578333333333333,1,iteration_number_38,5
239,171,15,0.0561666666666667,1,iteration_number_39,5
240,230,24,0.0589333333333333,1,iteration_number_40,5
241,263,23,0.0608333333333333,1,iteration_number_41,5
242,170,23,0.0625666666666667,1,iteration_number_42,5
243,234,21,0.0630333333333333,1,iteration_number_43,5
244,173,25,0.0611666666666667,1,iteration_number_44,5
245,179,20,0.0625333333333333,1,iteration_number_45,5
246,241,20,0.0596,1,iteration_number_46,5
247,204,24,0.0604,1,iteration_number_47,5
248,235,19,0.0611,1,iteration_number_48,5
249,193,25,0.0625,1,iteration_number_49,5
250,265,23,0.0626666666666667,1,iteration_number_50,5
251,255,20,0.0632666666666667,1,iteration_number_51,5
252,228,24,0.062,1,iteration_number_52,5
253,214,25,0.0604666666666667,1,iteration_number_53,5
254,215,17,0.0555,1,iteration_number_54,5
255,147,17,0.0626666666666667,1,iteration_number_55,5
256,253,24,0.0593333333333333,1,iteration_number_56,5
257,221,25,0.0596666666666667,1,iteration_number_57,5
258,235,23,0.0610333333333333,1,iteration_number_58,5
259,233,22,0.059,1,iteration_number_59,5
260,186,24,0.0581333333333333,1,iteration_number_60,5
261,207,16,0.0569333333333333,1,iteration_number_61,5
262,229,24,0.0607333333333333,1,iteration_number_62,5
263,265,23,0.0623,1,iteration_number_63,5
264,196,22,0.0587,1,iteration_number_64,5
265,267,24,0.058,1,iteration_number_65,5
266,279,26,0.0602,1,iteration_number_66,5
267,201,23,0.0596333333333333,1,iteration_number_67,5
268,163,21,0.0604333333333333,1,iteration_number_68,5
269,244,24,0.0596666666666667,1,iteration_number_69,5
270,191,23,0.0625,1,iteration_number_70,5
271,276,25,0.0604333333333333,1,iteration_number_71,5
272,190,22,0.0566666666666667,1,iteration_number_72,5
273,21,21,0.0357,1,iteration_number_73,5
274,67,21,0.0357,1,iteration_number_74,5
275,112,21,0.0803,1,iteration_number_75,5
276,291,22,0.0619333333333333,1,iteration_number_76,5
277,259,25,0.0619666666666667,1,iteration_number_77,5
278,257,24,0.0596666666666667,1,iteration_number_78,5
279,180,22,0.059,1,iteration_number_79,5
280,196,16,0.0585333333333333,1,iteration_number_80,5
281,232,24,0.0624,1,iteration_number_81,5
282,112,21,0.103433333333333,1,iteration_number_82,5
283,233,25,0.0624666666666667,1,iteration_number_83,5
284,245,25,0.0599666666666667,1,iteration_number_84,5
285,253,24,0.0602,1,iteration_number_85,5
286,260,25,0.0611,1,iteration_number_86,5
287,241,25,0.0603,1,iteration_number_87,5
288,208,21,0.0592333333333333,1,iteration_number_88,5
289,174,21,0.0569,1,iteration_number_89,5
290,212,17,0.0593,1,iteration_number_90,5
291,206,22,0.0589333333333333,1,iteration_number_91,5
292,222,23,0.0587666666666667,1,iteration_number_92,5
293,241,26,0.0612666666666667,1,iteration_number_93,5
294,175,16,0.0622666666666667,1,iteration_number_94,5
295,249,18,0.0567333333333333,1,iteration_number_95,5
296,257,23,0.0591666666666667,1,iteration_number_96,5
297,239,25,0.0635,1,iteration_number_97,5
298,245,25,0.0636333333333333,1,iteration_number_98,5
299,119,24,0.06,1,iteration_number_99,5
